duration,total_biat,mean_flowiat,max_biat,min_idle,max_fiat,mean_fiat,total_fiat,flowPktsPerSecond,max_active,std_active,std_flowiat,mean_biat,flowBytesPerSecond,min_flowiat,max_flowiat,min_active,mean_active,max_idle,mean_idle,min_fiat,std_idle,min_biat,flow_key,packet_count
448209252.0,0.0,224104.62600000002,0.0,50587.30700000001,397621.945,224104.62600000002,448209.25200000004,0.006693302261417843,0.0,0.0,173517.319,0.0,0.41498474020790627,50587.30700000001,397621.945,0.0,0.0,397621.945,224104.62600000002,50587.30700000001,173517.319,0.0,"('0.0.0.0', '224.0.0.22')",3
568836443.9999999,0.0,7584.48592,0.0,1023.9530000000059,66047.504,7584.48592,568836.444,0.13360606691367335,921.5690000000052,298.1522565212556,12465.00069084502,0.0,46.301534083846434,0.0,66047.504,0.0,242.52753333333618,66047.504,12479.124844444439,0.0,14106.998795781554,0.0,"('0.0.0.0', '255.255.255.255')",76
55477159.0,0.0,5547.7159,0.0,1511.3409999999944,27728.882999999994,5547.7159,55477.159,0.1982798001606391,897.166999999996,267.1082387650872,8429.486236662651,0.0,21.79275258129206,201.2499999999946,27728.882999999994,201.2499999999946,453.0517500000002,27728.882999999994,8944.158666666666,201.2499999999946,9462.55464878408,0.0,"('103.133.221.35', '172.16.145.52')",11
503578.00000000454,0.0,167.85933333333483,0.0,0.0,300.9720000000016,167.85933333333483,503.5780000000045,7.943158755942404,300.9720000000016,125.30372255532727,125.30372255532727,0.0,607.6516448295939,0.0,300.9720000000016,0.0,167.85933333333483,0.0,0.0,0.0,0.0,0.0,"('104.18.32.47', '172.16.145.52')",4
822001.9999999977,0.0,205.50049999999942,0.0,0.0,486.1240000000038,205.50049999999942,822.0019999999977,6.0827102610456105,486.1240000000038,183.37783896848137,183.37783896848137,0.0,485.4002788314397,0.0,486.1240000000038,0.0,205.50049999999942,0.0,0.0,0.0,0.0,0.0,"('104.18.43.204', '172.16.145.52')",5
740814.0000000003,0.0,185.20350000000008,0.0,0.0,458.2510000000042,185.20350000000008,740.8140000000003,6.749332491016635,458.2510000000042,168.03886748978834,168.03886748978834,0.0,538.5967327831275,0.0,458.2510000000042,0.0,185.20350000000008,0.0,0.0,0.0,0.0,0.0,"('104.26.3.75', '172.16.145.52')",5
10480064.000000006,0.0,10480.064000000006,0.0,10480.064000000006,10480.064000000006,10480.064000000006,10480.064000000006,0.19083852923035574,0.0,0.0,0.0,0.0,11.450311753821344,10480.064000000006,10480.064000000006,0.0,0.0,10480.064000000006,10480.064000000006,10480.064000000006,0.0,0.0,"('13.107.9.158', '172.16.145.52')",2
33003990.000000015,0.0,4125.4987500000025,0.0,2031.0249999999996,16383.627000000019,4125.4987500000025,33003.99000000002,0.27269430150718127,968.3809999999937,293.3095181914225,5320.461878488391,0.0,34.63217629141202,253.44000000001188,16383.627000000019,253.44000000001188,512.1817500000034,16383.627000000019,7738.815750000001,253.44000000001188,5515.113710745843,0.0,"('142.251.43.74', '172.16.145.52')",9
614858181.0,614629.8039999999,3.3967437932977553,699.559000000022,0.0,508.58400000001325,8.862162704876678,614777.089,294.4012222551854,465.73900000004187,16.996020373527017,16.996020373527017,5.505363608677737,227618.00903808745,0.0,465.73900000004187,0.0,3.3967437932977553,0.0,0.0,0.0,0.0,0.0,"('149.22.81.28', '172.16.145.52')",181015
3015809.9999999995,0.0,3015.8099999999995,0.0,3015.8099999999995,3015.8099999999995,3015.8099999999995,3015.8099999999995,0.6631717515360717,0.0,0.0,0.0,0.0,86.87549945122538,3015.8099999999995,3015.8099999999995,0.0,0.0,3015.8099999999995,3015.8099999999995,3015.8099999999995,0.0,0.0,"('157.240.23.53', '172.16.145.52')",2
50844348.0,0.0,16948.115999999998,0.0,12845.000000000002,21614.274999999998,16948.115999999998,50844.348,0.0786714778995691,0.0,0.0,3602.111331917526,0.0,42.04990493731968,12845.000000000002,21614.274999999998,0.0,0.0,21614.274999999998,16948.115999999998,12845.000000000002,3602.111331917526,0.0,"('157.240.23.54', '172.16.145.52')",4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,330000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('169.254.255.255', '169.254.75.205')",3
105915.99999997925,0.0,52.957999999989624,0.0,0.0,104.59800000000996,52.957999999989624,105.91599999997925,28.324332489903203,104.59800000000996,51.640000000020336,51.640000000020336,0.0,1699.4599493941923,1.3179999999692882,104.59800000000996,1.3179999999692882,52.957999999989624,0.0,0.0,1.3179999999692882,0.0,0.0,"('169.254.75.205', '224.0.0.22')",3
305900.00000006513,0.0,305.9000000000651,0.0,0.0,305.9000000000651,305.9000000000651,305.9000000000651,6.538084341286611,305.9000000000651,0.0,0.0,0.0,2072.5727361878558,305.9000000000651,305.9000000000651,305.9000000000651,305.9000000000651,0.0,0.0,305.9000000000651,0.0,0.0,"('172.16.144.1', '255.255.255.255')",2
580202378.0000001,0.0,24175.099083333334,0.0,19557.970999999994,40142.442,24175.099083333334,580202.378,0.04308841353973216,0.0,0.0,8129.257396329451,0.0,5.127521211228127,19557.970999999994,40142.442,0.0,0.0,40142.442,24175.099083333334,19557.970999999994,8129.257396329451,0.0,"('172.16.144.100', '224.0.0.251')",25
