duration,total_fiat,total_biat,min_fiat,min_biat,max_fiat,max_biat,mean_fiat,mean_biat,flowPktsPerSecond,flowBytesPerSecond,min_flowiat,max_flowiat,mean_flowiat,std_flowiat,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle
40037612.199783325,40037612.199783325,0.0,19969624.042510986,0.0,20067988.15727234,0.0,20018806.099891663,0.0,0.0749295433761216,7.7177429677405245,19969624.042510986,20067988.15727234,20018806.099891663,49182.05738067627,0.0,0.0,0.0,0.0,19969624.042510986,20018806.099891663,20067988.15727234,49182.05738067627
44549926.04255676,44500481.12869263,44449268.102645874,150380.13458251953,0.0,9125606.060028076,9224048.137664795,3423113.932976356,3419174.469434298,0.6285083385604887,81.05512894792588,0.0,9125606.060028076,1649997.2608354357,2908981.227818368,0.0,77516.14169070595,259572.02911376953,66591.81452800744,1505776.1669158936,5384639.918804169,9125606.060028076,2954502.8440518887
39935381.88934326,39935381.88934326,0.0,4095553.8749694824,0.0,19966347.93281555,0.0,13311793.96311442,0.0,0.10016180666767076,9.916018860099404,4095553.8749694824,19966347.93281555,13311793.96311442,6727664.420570302,0.0,0.0,0.0,0.0,4095553.8749694824,13311793.96311442,19966347.93281555,6727664.420570302
45364211.082458496,45364211.082458496,0.0,408240.07987976074,0.0,17511612.89215088,0.0,3024280.7388305664,0.0,0.3527009423996553,112.22503110979034,408240.07987976074,17511612.89215088,3024280.7388305664,4045261.065136147,408240.07987976074,580142.2595977783,717670.9175109863,128641.66010081327,1125145.1969146729,3635315.3586387634,17511612.89215088,4310941.620363692
42087043.046951294,42087043.046951294,0.0,204933.16650390625,0.0,10644611.120223999,0.0,2805802.869796753,0.0,0.38016450768828747,83.82627394526739,204933.16650390625,10644611.120223999,2805802.869796753,3355071.8869975787,204933.16650390625,238936.185836792,306464.91050720215,47522.49473056122,1023530.9600830078,4517047.3257700605,10644611.120223999,3382077.1797250714
45157402.03857422,45157402.03857422,0.0,4915284.156799316,0.0,10036091.089248657,0.0,5644675.254821777,0.0,0.19930287380819756,38.664757518790324,4915284.156799316,10036091.089248657,5644675.254821777,1660588.4668100148,0.0,0.0,0.0,0.0,4915284.156799316,5644675.254821777,10036091.089248657,1660588.4668100148
5733493.804931641,5733493.804931641,0.0,5733493.804931641,0.0,5733493.804931641,0.0,5733493.804931641,0.0,0.34882744588992287,49.53349731636905,5733493.804931641,5733493.804931641,5733493.804931641,0.0,0.0,0.0,0.0,0.0,5733493.804931641,5733493.804931641,5733493.804931641,0.0
5733493.804931641,5733493.804931641,0.0,5733493.804931641,0.0,5733493.804931641,0.0,5733493.804931641,0.0,0.34882744588992287,49.53349731636905,5733493.804931641,5733493.804931641,5733493.804931641,0.0,0.0,0.0,0.0,0.0,5733493.804931641,5733493.804931641,5733493.804931641,0.0
39931204.080581665,39931204.080581665,39908008.098602295,23181.915283203125,19913238.048553467,19966401.10015869,19994770.050048828,7986240.816116333,19954004.049301147,0.22538764375444048,16.528427208658968,391.0064697265625,19966401.10015869,4991400.510072708,8594766.347000765,391.0064697265625,29324.33287302653,123954.05769348145,43794.595512182714,19788856.983184814,19877629.041671753,19966401.10015869,88772.05848693848
40037272.93014526,40037272.93014526,0.0,19970433.950424194,0.0,20066838.97972107,0.0,20018636.46507263,0.0,0.07493017831744504,8.91669121977596,19970433.950424194,20066838.97972107,20018636.46507263,48202.5146484375,0.0,0.0,0.0,0.0,19970433.950424194,20018636.46507263,20066838.97972107,48202.5146484375
23961323.976516724,23961323.976516724,0.0,1024300.0984191895,0.0,19967597.007751465,0.0,5990330.994129181,0.0,0.20866960460533174,21.492969274349168,1024300.0984191895,19967597.007751465,5990330.994129181,8078524.66156535,0.0,0.0,0.0,0.0,1024300.0984191895,5990330.994129181,19967597.007751465,8078524.66156535
23961336.135864258,23961336.135864258,0.0,922193.0503845215,0.0,22014712.09526062,0.0,7987112.045288086,0.0,0.16693559897158566,17.194366694073324,922193.0503845215,22014712.09526062,7987112.045288086,9919098.934902554,922193.0503845215,922193.0503845215,922193.0503845215,0.0,1024430.9902191162,11519571.542739868,22014712.09526062,10495140.552520752
40038331.03179932,40038331.03179932,0.0,19969483.137130737,0.0,20068847.89466858,0.0,20019165.51589966,0.0,0.0749281981213786,8.916455576444053,19969483.137130737,20068847.89466858,20019165.51589966,49682.3787689209,0.0,0.0,0.0,0.0,19969483.137130737,20019165.51589966,20068847.89466858,49682.3787689209
40039131.16455078,40039131.16455078,0.0,19967839.002609253,0.0,20071292.16194153,0.0,20019565.58227539,0.0,0.07492670077356955,8.916277392054777,19967839.002609253,20071292.16194153,20019565.58227539,51726.579666137695,0.0,0.0,0.0,0.0,19967839.002609253,20019565.58227539,20071292.16194153,51726.579666137695
39937265.87295532,39937265.87295532,0.0,19968508.95881653,0.0,19968756.914138794,0.0,19968632.93647766,0.0,0.07511781125786923,10.140904519812347,19968508.95881653,19968756.914138794,19968632.93647766,123.9776611328125,0.0,0.0,0.0,0.0,19968508.95881653,19968632.93647766,19968756.914138794,123.9776611328125
410668.84994506836,410668.84994506836,0.0,410668.84994506836,0.0,410668.84994506836,0.0,410668.84994506836,0.0,4.870103978588887,311.68665462968875,410668.84994506836,410668.84994506836,410668.84994506836,0.0,410668.84994506836,410668.84994506836,410668.84994506836,0.0,0.0,0.0,0.0,0.0
